Short_Name,Cross_Section_pb,Uncertainty_pb,Status,MCM,DAS
WRtoNEltoElElJJ_MWR4000_N100,0.002389,6.776e-07,new,EXO-Run3Summer22EEMiniAODv4-02123,/WRtoNEltoElElJJ_MWR4000_N100_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNEltoElElJJ_MWR4000_N1100,0.00166,7.249e-07,new,EXO-Run3Summer22EEMiniAODv4-02125,/WRtoNEltoElElJJ_MWR4000_N1100_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNEltoElElJJ_MWR4000_N1300,0.001546,5.22e-07,new,EXO-Run3Summer22EEMiniAODv4-02127,/WRtoNEltoElElJJ_MWR4000_N1300_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNEltoElElJJ_MWR4000_N1500,0.00143,4.625e-07,new,EXO-Run3Summer22EEMiniAODv4-02129,/WRtoNEltoElElJJ_MWR4000_N1500_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNEltoElElJJ_MWR4000_N1700,0.001307,4.273e-07,new,EXO-Run3Summer22EEMiniAODv4-02131,/WRtoNEltoElElJJ_MWR4000_N1700_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNEltoElElJJ_MWR4000_N1900,0.001181,4.067e-07,new,EXO-Run3Summer22EEMiniAODv4-02133,/WRtoNEltoElElJJ_MWR4000_N1900_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNEltoElElJJ_MWR4000_N2100,0.001048,3.485e-07,new,EXO-Run3Summer22EEMiniAODv4-02135,/WRtoNEltoElElJJ_MWR4000_N2100_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNEltoElElJJ_MWR4000_N2300,0.0009103,3.285e-07,new,EXO-Run3Summer22EEMiniAODv4-02137,/WRtoNEltoElElJJ_MWR4000_N2300_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNEltoElElJJ_MWR4000_N2500,0.0007731,2.753e-07,new,EXO-Run3Summer22EEMiniAODv4-02139,/WRtoNEltoElElJJ_MWR4000_N2500_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNEltoElElJJ_MWR4000_N2700,0.000628,2.278e-07,new,EXO-Run3Summer22EEMiniAODv4-02141,/WRtoNEltoElElJJ_MWR4000_N2700_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNEltoElElJJ_MWR4000_N2900,0.0004911,1.485e-07,new,EXO-Run3Summer22EEMiniAODv4-02143,/WRtoNEltoElElJJ_MWR4000_N2900_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNEltoElElJJ_MWR4000_N300,0.002183,9.709e-07,new,EXO-Run3Summer22EEMiniAODv4-02145,/WRtoNEltoElElJJ_MWR4000_N300_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNEltoElElJJ_MWR4000_N3100,0.0003566,1.243e-07,new,EXO-Run3Summer22EEMiniAODv4-02147,/WRtoNEltoElElJJ_MWR4000_N3100_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNEltoElElJJ_MWR4000_N3300,0.0002355,8.255e-08,new,EXO-Run3Summer22EEMiniAODv4-02149,/WRtoNEltoElElJJ_MWR4000_N3300_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNEltoElElJJ_MWR4000_N3500,0.0001309,4.874e-08,new,EXO-Run3Summer22EEMiniAODv4-02151,/WRtoNEltoElElJJ_MWR4000_N3500_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNEltoElElJJ_MWR4000_N3700,5.464e-05,1.867e-08,new,EXO-Run3Summer22EEMiniAODv4-02153,/WRtoNEltoElElJJ_MWR4000_N3700_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNEltoElElJJ_MWR4000_N3900,1.207e-05,3.752e-09,new,EXO-Run3Summer22EEMiniAODv4-02155,/WRtoNEltoElElJJ_MWR4000_N3900_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNEltoElElJJ_MWR4000_N500,0.002024,9.329e-07,new,EXO-Run3Summer22EEMiniAODv4-02157,/WRtoNEltoElElJJ_MWR4000_N500_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNEltoElElJJ_MWR4000_N700,0.001894,8.436e-07,new,EXO-Run3Summer22EEMiniAODv4-02159,/WRtoNEltoElElJJ_MWR4000_N700_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNEltoElElJJ_MWR4000_N900,0.001779,7.626e-07,new,EXO-Run3Summer22EEMiniAODv4-02161,/WRtoNEltoElElJJ_MWR4000_N900_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNEltoElElJJ_MWR6000_N100,0.0001936,6.581e-08,new,EXO-Run3Summer22EEMiniAODv4-02163,/WRtoNEltoElElJJ_MWR6000_N100_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNEltoElElJJ_MWR6000_N1100,9.075e-05,3.295e-08,new,EXO-Run3Summer22EEMiniAODv4-02165,/WRtoNEltoElElJJ_MWR6000_N1100_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNEltoElElJJ_MWR6000_N1300,8.329e-05,2.804e-08,new,EXO-Run3Summer22EEMiniAODv4-02167,/WRtoNEltoElElJJ_MWR6000_N1300_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNEltoElElJJ_MWR6000_N1500,7.697e-05,2.925e-08,new,EXO-Run3Summer22EEMiniAODv4-02169,/WRtoNEltoElElJJ_MWR6000_N1500_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNEltoElElJJ_MWR6000_N1700,7.163e-05,2.911e-08,new,EXO-Run3Summer22EEMiniAODv4-02171,/WRtoNEltoElElJJ_MWR6000_N1700_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNEltoElElJJ_MWR6000_N1900,6.701e-05,3.237e-08,new,EXO-Run3Summer22EEMiniAODv4-02173,/WRtoNEltoElElJJ_MWR6000_N1900_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNEltoElElJJ_MWR6000_N2100,6.269e-05,1.993e-08,new,EXO-Run3Summer22EEMiniAODv4-02175,/WRtoNEltoElElJJ_MWR6000_N2100_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNEltoElElJJ_MWR6000_N2300,5.862e-05,1.937e-08,new,EXO-Run3Summer22EEMiniAODv4-02177,/WRtoNEltoElElJJ_MWR6000_N2300_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNEltoElElJJ_MWR6000_N2500,5.465e-05,1.697e-08,new,EXO-Run3Summer22EEMiniAODv4-02179,/WRtoNEltoElElJJ_MWR6000_N2500_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNEltoElElJJ_MWR6000_N2700,5.101e-05,1.566e-08,new,EXO-Run3Summer22EEMiniAODv4-02181,/WRtoNEltoElElJJ_MWR6000_N2700_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNEltoElElJJ_MWR6000_N2900,4.738e-05,1.513e-08,new,EXO-Run3Summer22EEMiniAODv4-02122,/WRtoNEltoElElJJ_MWR6000_N2900_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNEltoElElJJ_MWR6000_N300,0.0001553,5.551e-08,new,EXO-Run3Summer22EEMiniAODv4-02124,/WRtoNEltoElElJJ_MWR6000_N300_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNEltoElElJJ_MWR6000_N3100,4.354e-05,1.37e-08,new,EXO-Run3Summer22EEMiniAODv4-02126,/WRtoNEltoElElJJ_MWR6000_N3100_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNEltoElElJJ_MWR6000_N3300,3.983e-05,1.486e-08,new,EXO-Run3Summer22EEMiniAODv4-02128,/WRtoNEltoElElJJ_MWR6000_N3300_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNEltoElElJJ_MWR6000_N3500,3.598e-05,1.283e-08,new,EXO-Run3Summer22EEMiniAODv4-02130,/WRtoNEltoElElJJ_MWR6000_N3500_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNEltoElElJJ_MWR6000_N3700,3.222e-05,1.13e-08,new,EXO-Run3Summer22EEMiniAODv4-02132,/WRtoNEltoElElJJ_MWR6000_N3700_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNEltoElElJJ_MWR6000_N3900,2.833e-05,8.903e-09,new,EXO-Run3Summer22EEMiniAODv4-02134,/WRtoNEltoElElJJ_MWR6000_N3900_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNEltoElElJJ_MWR6000_N4100,2.452e-05,8.616e-09,new,EXO-Run3Summer22EEMiniAODv4-02136,/WRtoNEltoElElJJ_MWR6000_N4100_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNEltoElElJJ_MWR6000_N4300,2.074e-05,6.191e-09,new,EXO-Run3Summer22EEMiniAODv4-02138,/WRtoNEltoElElJJ_MWR6000_N4300_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNEltoElElJJ_MWR6000_N4500,1.704e-05,5.31e-09,new,EXO-Run3Summer22EEMiniAODv4-02140,/WRtoNEltoElElJJ_MWR6000_N4500_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNEltoElElJJ_MWR6000_N4700,1.351e-05,4.489e-09,new,EXO-Run3Summer22EEMiniAODv4-02142,/WRtoNEltoElElJJ_MWR6000_N4700_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNEltoElElJJ_MWR6000_N4900,1.025e-05,4.006e-09,new,EXO-Run3Summer22MiniAODv4-02091,/WRtoNEltoElElJJ_MWR6000_N4900_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22MiniAODv4-130X_mcRun3_2022_realistic_v5-v2/MINIAODSIM
WRtoNEltoElElJJ_MWR6000_N500,0.0001307,4.709e-08,new,EXO-Run3Summer22EEMiniAODv4-02146,/WRtoNEltoElElJJ_MWR6000_N500_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNEltoElElJJ_MWR6000_N5100,7.277e-06,2.473e-09,new,EXO-Run3Summer22EEMiniAODv4-02148,/WRtoNEltoElElJJ_MWR6000_N5100_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNEltoElElJJ_MWR6000_N5300,4.684e-06,1.422e-09,new,EXO-Run3Summer22EEMiniAODv4-02150,/WRtoNEltoElElJJ_MWR6000_N5300_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNEltoElElJJ_MWR6000_N5500,2.621e-06,8.818e-10,new,EXO-Run3Summer22EEMiniAODv4-02152,/WRtoNEltoElElJJ_MWR6000_N5500_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNEltoElElJJ_MWR6000_N5700,1.134e-06,3.381e-10,new,EXO-Run3Summer22EEMiniAODv4-02154,/WRtoNEltoElElJJ_MWR6000_N5700_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNEltoElElJJ_MWR6000_N5900,3.262e-07,9.18e-11,new,EXO-Run3Summer22EEMiniAODv4-02156,/WRtoNEltoElElJJ_MWR6000_N5900_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNEltoElElJJ_MWR6000_N700,0.0001132,3.953e-08,new,EXO-Run3Summer22EEMiniAODv4-02158,/WRtoNEltoElElJJ_MWR6000_N700_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNEltoElElJJ_MWR6000_N900,0.0001006,3.437e-08,new,EXO-Run3Summer22EEMiniAODv4-02160,/WRtoNEltoElElJJ_MWR6000_N900_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v3/MINIAODSIM
WRtoNEltoElElJJ_MWR8000_N100,4.23e-05,1.376e-08,new,EXO-Run3Summer22EEMiniAODv4-02162,/WRtoNEltoElElJJ_MWR8000_N100_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNEltoElElJJ_MWR8000_N1100,1.163e-05,4.245e-09,new,EXO-Run3Summer22EEMiniAODv4-02164,/WRtoNEltoElElJJ_MWR8000_N1100_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNEltoElElJJ_MWR8000_N1300,9.758e-06,3.413e-09,new,EXO-Run3Summer22EEMiniAODv4-02166,/WRtoNEltoElElJJ_MWR8000_N1300_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNEltoElElJJ_MWR8000_N1500,8.367e-06,2.667e-09,new,EXO-Run3Summer22EEMiniAODv4-02168,/WRtoNEltoElElJJ_MWR8000_N1500_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNEltoElElJJ_MWR8000_N1700,7.355e-06,2.552e-09,new,EXO-Run3Summer22EEMiniAODv4-02170,/WRtoNEltoElElJJ_MWR8000_N1700_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNEltoElElJJ_MWR8000_N1900,6.541e-06,2.226e-09,new,EXO-Run3Summer22EEMiniAODv4-02172,/WRtoNEltoElElJJ_MWR8000_N1900_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNEltoElElJJ_MWR8000_N2100,5.934e-06,2.029e-09,new,EXO-Run3Summer22EEMiniAODv4-02174,/WRtoNEltoElElJJ_MWR8000_N2100_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNEltoElElJJ_MWR8000_N2300,5.443e-06,1.928e-09,new,EXO-Run3Summer22EEMiniAODv4-02176,/WRtoNEltoElElJJ_MWR8000_N2300_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNEltoElElJJ_MWR8000_N2500,5.036e-06,1.735e-09,new,EXO-Run3Summer22EEMiniAODv4-02178,/WRtoNEltoElElJJ_MWR8000_N2500_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNEltoElElJJ_MWR8000_N2700,4.689e-06,1.545e-09,new,EXO-Run3Summer22EEMiniAODv4-02180,/WRtoNEltoElElJJ_MWR8000_N2700_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNEltoElElJJ_MWR8000_N2900,4.391e-06,1.505e-09,new,EXO-Run3Summer22EEMiniAODv4-02182,/WRtoNEltoElElJJ_MWR8000_N2900_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNEltoElElJJ_MWR8000_N300,3.043e-05,9.282e-09,new,EXO-Run3Summer22EEMiniAODv4-02183,/WRtoNEltoElElJJ_MWR8000_N300_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNEltoElElJJ_MWR8000_N3100,4.125e-06,1.34e-09,new,EXO-Run3Summer22EEMiniAODv4-02184,/WRtoNEltoElElJJ_MWR8000_N3100_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNEltoElElJJ_MWR8000_N3300,3.874e-06,1.121e-09,new,EXO-Run3Summer22EEMiniAODv4-02185,/WRtoNEltoElElJJ_MWR8000_N3300_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNEltoElElJJ_MWR8000_N3500,3.649e-06,1.176e-09,new,EXO-Run3Summer22EEMiniAODv4-02186,/WRtoNEltoElElJJ_MWR8000_N3500_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNEltoElElJJ_MWR8000_N3700,3.433e-06,1.119e-09,new,EXO-Run3Summer22EEMiniAODv4-02187,/WRtoNEltoElElJJ_MWR8000_N3700_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNEltoElElJJ_MWR8000_N3900,3.22e-06,9.991e-10,new,EXO-Run3Summer22EEMiniAODv4-02188,/WRtoNEltoElElJJ_MWR8000_N3900_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNEltoElElJJ_MWR8000_N4100,3.016e-06,9.626e-10,new,EXO-Run3Summer22EEMiniAODv4-02189,/WRtoNEltoElElJJ_MWR8000_N4100_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNEltoElElJJ_MWR8000_N4300,2.806e-06,8.38e-10,new,EXO-Run3Summer22EEMiniAODv4-02190,/WRtoNEltoElElJJ_MWR8000_N4300_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNEltoElElJJ_MWR8000_N4500,2.604e-06,7.939e-10,new,EXO-Run3Summer22EEMiniAODv4-02191,/WRtoNEltoElElJJ_MWR8000_N4500_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNEltoElElJJ_MWR8000_N4700,2.398e-06,7.579e-10,new,EXO-Run3Summer22EEMiniAODv4-02192,/WRtoNEltoElElJJ_MWR8000_N4700_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNEltoElElJJ_MWR8000_N4900,2.189e-06,6.714e-10,new,EXO-Run3Summer22EEMiniAODv4-02193,/WRtoNEltoElElJJ_MWR8000_N4900_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNEltoElElJJ_MWR8000_N500,2.282e-05,8.437e-09,new,EXO-Run3Summer22EEMiniAODv4-02194,/WRtoNEltoElElJJ_MWR8000_N500_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNEltoElElJJ_MWR8000_N5100,1.987e-06,6.84e-10,new,EXO-Run3Summer22EEMiniAODv4-02195,/WRtoNEltoElElJJ_MWR8000_N5100_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNEltoElElJJ_MWR8000_N5300,1.788e-06,6.201e-10,new,EXO-Run3Summer22EEMiniAODv4-02196,/WRtoNEltoElElJJ_MWR8000_N5300_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
