Short_Name,Cross_Section_pb,Uncertainty_pb,Status,MCM,DAS
WRtoNMutoMuMuJJ_MWR6000_N100,0.0001938,6.753e-08,new,EXO-Run3Summer22EEMiniAODv4-02242,/WRtoNMutoMuMuJJ_MWR6000_N100_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNMutoMuMuJJ_MWR6000_N1100,9.105e-05,3.4e-08,new,EXO-Run3Summer22EEMiniAODv4-02243,/WRtoNMutoMuMuJJ_MWR6000_N1100_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNMutoMuMuJJ_MWR6000_N1300,8.327e-05,2.862e-08,new,EXO-Run3Summer22EEMiniAODv4-02244,/WRtoNMutoMuMuJJ_MWR6000_N1300_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNMutoMuMuJJ_MWR6000_N1500,7.698e-05,2.988e-08,new,EXO-Run3Summer22EEMiniAODv4-02245,/WRtoNMutoMuMuJJ_MWR6000_N1500_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNMutoMuMuJJ_MWR6000_N1700,7.169e-05,3.045e-08,new,EXO-Run3Summer22EEMiniAODv4-02246,/WRtoNMutoMuMuJJ_MWR6000_N1700_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNMutoMuMuJJ_MWR6000_N1900,6.697e-05,2.251e-08,new,EXO-Run3Summer22EEMiniAODv4-02247,/WRtoNMutoMuMuJJ_MWR6000_N1900_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNMutoMuMuJJ_MWR6000_N2100,6.255e-05,2.084e-08,new,EXO-Run3Summer22EEMiniAODv4-02248,/WRtoNMutoMuMuJJ_MWR6000_N2100_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNMutoMuMuJJ_MWR6000_N2300,5.861e-05,1.956e-08,new,EXO-Run3Summer22EEMiniAODv4-02249,/WRtoNMutoMuMuJJ_MWR6000_N2300_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNMutoMuMuJJ_MWR6000_N2500,5.477e-05,1.759e-08,new,EXO-Run3Summer22EEMiniAODv4-02250,/WRtoNMutoMuMuJJ_MWR6000_N2500_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNMutoMuMuJJ_MWR6000_N2700,5.105e-05,1.614e-08,new,EXO-Run3Summer22EEMiniAODv4-02251,/WRtoNMutoMuMuJJ_MWR6000_N2700_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNMutoMuMuJJ_MWR6000_N2900,4.738e-05,1.511e-08,new,EXO-Run3Summer22EEMiniAODv4-02252,/WRtoNMutoMuMuJJ_MWR6000_N2900_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNMutoMuMuJJ_MWR6000_N300,0.0001556,5.221e-08,new,EXO-Run3Summer22EEMiniAODv4-02253,/WRtoNMutoMuMuJJ_MWR6000_N300_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNMutoMuMuJJ_MWR6000_N3100,4.362e-05,1.414e-08,new,EXO-Run3Summer22EEMiniAODv4-02254,/WRtoNMutoMuMuJJ_MWR6000_N3100_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNMutoMuMuJJ_MWR6000_N3300,3.978e-05,1.523e-08,new,EXO-Run3Summer22EEMiniAODv4-02255,/WRtoNMutoMuMuJJ_MWR6000_N3300_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
